"learning_rate" "num_leaves" "max_bin" "feature_fraction" "min_sum_hessian" "lambda_l1" "lambda_l2" "drop_rate" "perf"
"1" 0.125 50 128 0.95 0.002 0 0 0 0.783157052298659
"2" 0.125 50 128 0.95 0.002 0 0 0.1 0.783443712627322
"3" 0.125 50 128 0.95 0.002 0 0 0.2 0.783662523424755
"4" 0.125 50 128 0.95 0.002 0 0 0.3 0.783758865048772
"5" 0.125 50 128 0.95 0.002 0 0 0.4 0.783440591699837
"6" 0.125 50 128 0.95 0.002 0 0 0.5 0.783466651673673
"7" 0.125 50 128 0.95 0.002 0 0 0.6 0.783790890720895
"8" 0.125 50 128 0.95 0.002 0 0 0.7 0.783195761900703
"9" 0.125 50 128 0.95 0.002 0 0 0.8 0.783238253599474
"10" 0.125 50 128 0.95 0.002 0 0 0.9 0.783957239092745
"11" 0.125 50 128 0.95 0.002 0 0 1 0.783409528748486
