"Feature" "Gain" "Cover" "Frequency"
"1" "EXT_SOURCE_MEAN" 0.236257875934097 NA 0.0125523012552301
"2" "Add_RATIO_PAYMENT" 0.028923146583728 NA 0.0287909660761226
"3" "EXT_SOURCE_MIN" 0.0271031709400722 NA 0.0109191022071519
"4" "EXT_SOURCE_MAX" 0.0203267056777534 NA 0.00852374360330373
"5" "Add_RATIO_CREDIT_GOODS" 0.0201244039056053 NA 0.0132055808744614
"6" "DAYS_BIRTH" 0.0180866506181348 NA 0.019505062917049
"7" "Add_RATIO_DEBT_CREDIT_BUREAU_MEAN" 0.0178034944620993 NA 0.0096747600752827
"8" "INSTALMENTS_LESS_MEAN" 0.0140240261153896 NA 0.0105457995675911
"9" "EXT_SOURCE_3" 0.0138966517890616 NA 0.01084133082391
"10" "AMT_ANNUITY" 0.012656202692767 NA 0.0130033752780327
"11" "DAYS_LAST_DUE_1ST_VERSION_MAX" 0.0114594262133808 NA 0.0117434788695152
"12" "DAYS_EMPLOYED" 0.0100996879720811 NA 0.0087103949230841
"13" "CODE_GENDER.M" 0.00936080173928787 NA 0.00528845406044392
"14" "INSTALMENTS_DPD_MAX" 0.00901237262193628 NA 0.0099391827783049
"15" "DAYS_CREDIT_MAX" 0.00825274071060707 NA 0.011307959123361
"16" "Add_RATIO_EMPLOYED_BIRTH" 0.00807221319601763 NA 0.00839930939011681
"17" "NAME_CONTRACT_STATUS_POSCASH_Active" 0.00787314400387258 NA 0.006828327448632
"18" "AMT_PAYMENT_MEAN" 0.00772509666041328 NA 0.00934812026566705
"19" "Add_RATIO_ANNUITY_INCOME" 0.00748904771337807 NA 0.0107791137173166
"20" "DAYS_ID_PUBLISH" 0.00737195296172991 NA 0.0121789986156694
"21" "NAME_CONTRACT_STATUS_Refused" 0.00716587639113087 NA 0.00491515142088317
"22" "Add_RATIO_INSTALMENT_LEFT_MEAN" 0.00705285827663188 NA 0.00749716134451167
"23" "EXT_SOURCE_2" 0.00692623783295209 NA 0.00964365152198597
"24" "AMT_GOODS_PRICE" 0.00648697467378884 NA 0.00619060210604906
"25" "Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MIN" 0.00646196294135056 NA 0.00556843104011448
"26" "DAYS_CREDIT_ENDDATE_MAX" 0.00593934113831889 NA 0.00936367454231541
"27" "DAYS_REGISTRATION" 0.00585377225356488 NA 0.0112146334634708
"28" "NA_EXT_SOURCE_1" 0.00583361530117462 NA 0.00395078626868457
"29" "Add_DIFF_SUM_DEBT_CREDIT_BURUEA" 0.00573663814915527 NA 0.00773047549423714
"30" "INSTALMENTS_DPD_MEAN" 0.00566482522077318 NA 0.00947255447885396
"31" "NAME_EDUCATION_TYPE.Higher.education" 0.00564593864831753 NA 0.00160209049478154
"32" "Add_DIFF_PAYMENT_DRAWINGS_CARD_MEAN" 0.00544392930038116 NA 0.00373302639560747
"33" "CNT_DRAWINGS_ATM_CURRENT_MEAN" 0.00534244539274684 NA 0.00203761024093575
"34" "AMT_ANNUITY_PREV_MEAN" 0.00529979611458007 NA 0.00888149196621611
"35" "AMT_CREDIT" 0.00526444074253983 NA 0.00606616789286214
"36" "DAYS_ENTRY_PAYMENT_MAX" 0.00505119780936805 NA 0.00839930939011681
"37" "Add_DIFF_BALANCE_LIMIT_CARD_MAX" 0.00495919390055537 NA 0.00426187180165186
"38" "Microloan_Nr" 0.00491837930372056 NA 0.00203761024093575
"39" "Add_DIFF_RECEIVABLE_BALANCE_CARD_MEAN" 0.00481383776651754 NA 0.00245757571044159
"40" "SK_DPD_DEF_MEAN_POS" 0.00466215931701406 NA 0.00335972375604673
"41" "EXT_SOURCE_1" 0.00464421029642647 NA 0.00692165310852219
"42" "DAYS_LAST_DUE_1ST_VERSION_MEAN" 0.0045978422174133 NA 0.00553732248681775
"43" "REGION_POPULATION_RELATIVE" 0.00442782021468178 NA 0.00863262353984228
"44" "DAYS_LAST_PHONE_CHANGE" 0.0041276023965734 NA 0.00710830442830256
"45" "CNT_INSTALMENT_FUTURE_MEAN" 0.00407796036139254 NA 0.00493070569753154
"46" "AMT_PAYMENT_MAX" 0.00407250574732367 NA 0.00475960865439953
"47" "Add_DIFF_DAYS_LAST_DUE_PREV_MEAN" 0.00402110330366102 NA 0.00455740305797079
"48" "Add_RATIO_CREDIT_INCOME" 0.00399926070566697 NA 0.00642391625577452
"49" "Add_CREDIT_per_ADULT" 0.00394422456975875 NA 0.00595728795632359
"50" "AMT_CREDIT_SUM_DEBT_SUM" 0.00390645097640268 NA 0.00615949355275233
"51" "MONTHS_BALANCE_MAX_POS" 0.00386483960327911 NA 0.00388856916209112
"52" "Add_CREDIT_per_FAM" 0.00374750082938854 NA 0.00692165310852219
"53" "Add_RATIO_PHONE_BIRTH" 0.00361041275805757 NA 0.00662612185220326
"54" "CNT_PAYMENT_MEAN" 0.00359511834829434 NA 0.00563064814670794
"55" "DAYS_LAST_DUE_MAX" 0.00356501630884227 NA 0.0052106826772021
"56" "DAYS_ENDDATE_FACT_MAX" 0.00346384948549964 NA 0.00622171065934579
"57" "AMT_CREDIT_SUM_MEAN" 0.003380228510306 NA 0.00653279619231308
"58" "DAYS_INSTALMENT_MAX" 0.0033789915878167 NA 0.00561509387005957
"59" "AMT_CREDIT_MAX_OVERDUE_MEAN" 0.00335793603384065 NA 0.00368636356566238
"60" "AMT_CREDIT_SUM_DEBT_MAX" 0.0033143611134798 NA 0.00552176821016939
"61" "Add_RATIO_PHONE_EMPLOYED" 0.00326926057054794 NA 0.00633059059588434
"62" "DAYS_CREDIT_MEAN" 0.00324209427459831 NA 0.00595728795632359
"63" "AMT_DOWN_PAYMENT_MAX" 0.00321146045618686 NA 0.00531956261374065
"64" "Add_DIFF_MEAN_INSTALMENT_FUTURE" 0.00314860441401515 NA 0.00595728795632359
"65" "DAYS_TERMINATION_MAX" 0.00314667730852124 NA 0.00553732248681775
"66" "Add_RATIO_CAR_EMPLOYED" 0.00314525311702354 NA 0.00368636356566238
"67" "DAYS_FIRST_DUE_MAX" 0.00311271794353048 NA 0.00645502480907125
"68" "FLAG_DOCUMENT_3" 0.00302327980226267 NA 0.00205316451758411
"69" "AMT_CREDIT_SUM_DEBT_MEAN" 0.0030161125886131 NA 0.00549065965687266
"70" "AMT_CREDIT_SUM_MAX" 0.00301292264449686 NA 0.0056462024233563
"71" "Add_RATIO_CAR_BIRTH" 0.00300413378942181 NA 0.00312640960632126
"72" "AMT_INSTALMENT_MAX" 0.00296429747384005 NA 0.0042463175250035
"73" "AMT_INSTALMENT_MEAN" 0.00293747377410332 NA 0.00510180274066355
"74" "CNT_PAYMENT_MAX" 0.00292746440798695 NA 0.00265978130687032
"75" "DAYS_DECISION_MAX" 0.00291324419325249 NA 0.00572397380659812
"76" "DAYS_DECISION_MIN" 0.00288413251941707 NA 0.00314196388296962
"77" "Add_DIFF_MEAN_DAYS_LAST_DUE_PREV" 0.00284963713684847 NA 0.00477516293104789
"78" "Nr_INSTALLMENTS_MEAN" 0.00284699393333802 NA 0.00628392776593925
"79" "Add_RATIO_PAYMENT_PREV_MEAN" 0.00282941635333881 NA 0.0044640773980806
"80" "NAME_EDUCATION_TYPE.Secondary...secondary.special" 0.00279775584722057 NA 0.00158653621813318
"81" "AMT_CREDIT_MAX_OVERDUE_MAX" 0.00275348304568906 NA 0.00353082079917873
"82" "Add_RATIO_PAYMENT_PREV_MAX" 0.00273603497297311 NA 0.00550621393352102
"83" "NAME_FAMILY_STATUS.Married" 0.00270152382053831 NA 0.00256645564698014
"84" "Add_RATIO_MEAN_PAYMENT_PREV" 0.00270048790842445 NA 0.00465072871786098
"85" "AMT_DOWN_PAYMENT_MEAN" 0.00263432851442827 NA 0.0045107402280257
"86" "DAYS_CREDIT_ENDDATE_MEAN" 0.00262080062188191 NA 0.00507069418736682
"87" "DAYS_DECISION_MEAN" 0.00258349435374104 NA 0.00435519746154205
"88" "Nr_POS_CASH" 0.00256723846737727 NA 0.00171097043132009
"89" "NUM_INSTALMENT_NUMBER_MAX" 0.00256513008654318 NA 0.00339083230934345
"90" "Nr_POSCASH_MONTH_MEAN" 0.00252772845366567 NA 0.00511735701731191
"91" "AMT_CREDIT_SUM_SUM" 0.00250692048441807 NA 0.00458851161126752
"92" "NAME_INCOME_TYPE.Working" 0.00248952509346526 NA 0.00153987338818808
"93" "DAYS_CREDIT_ENDDATE_POSITIVE_SUM" 0.00243135750674244 NA 0.0027997697967056
"94" "OWN_CAR_AGE" 0.0023683543746852 NA 0.00227092439066121
"95" "RATE_DOWN_PAYMENT_MEAN" 0.00230303064396819 NA 0.00496181425082827
"96" "AMT_ANNUITY_MAX" 0.00226910035725762 NA 0.00500847708077336
"97" "DAYS_CREDIT_ENDDATE_MIN" 0.0022292499203538 NA 0.00452629450467406
"98" "CREDIT_ACTIVE_Active" 0.00221580969030126 NA 0.0023642500505514
"99" "NUM_INSTALMENT_NUMBER_MEAN" 0.00220524802011209 NA 0.00426187180165186
"100" "AMT_INCOME_TOTAL" 0.00219911252796189 NA 0.0045107402280257
"101" "YEARS_BEGINEXPLUATATION_AVG" 0.00217787552701362 NA 0.00356192935247546
"102" "DAYS_ENDDATE_FACT_MIN" 0.00216300608308576 NA 0.00412188331181658
"103" "DAYS_INSTALMENT_MEAN" 0.00214727411597329 NA 0.00307974677637616
"104" "CNT_DRAWINGS_CURRENT_MEAN" 0.00213840272545312 NA 0.00256645564698014
"105" "DAYS_FIRST_DUE_MIN" 0.00211360814220423 NA 0.00292420400989252
"106" "RATE_DOWN_PAYMENT_MAX" 0.00211081958449336 NA 0.00373302639560747
"107" "DAYS_CREDIT_UPDATE_MEAN" 0.00208417119425253 NA 0.00412188331181658
"108" "DAYS_CREDIT_MIN" 0.00206097381983294 NA 0.0040285576519264
"109" "NAME_YIELD_GROUP_high" 0.0020478507254394 NA 0.00217759873077103
"110" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MIN" 0.001979434932341 NA 0.00195983885769392
"111" "NUM_INSTALMENT_VERSION_5" 0.0019465431456783 NA 0.00346860369258528
"112" "DEF_30_CNT_SOCIAL_CIRCLE" 0.00193210282466885 NA 0.00158653621813318
"113" "Add_DIFF_MEAN_PAYMENT_DRAWINGS_CARD" 0.00188190367992178 NA 0.000622171065934579
"114" "Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MEAN" 0.00186853690471537 NA 0.00329750664945327
"115" "MONTHS_BALANCE_MEAN_POS" 0.0018413580967489 NA 0.00293975828654088
"116" "AMT_APPLICATION_MAX" 0.00183344141661299 NA 0.00314196388296962
"117" "Add_INCOME_per_FAM" 0.00181729755246695 NA 0.00410632903516822
"118" "DAYS_ENTRY_PAYMENT_MEAN" 0.00177901165478304 NA 0.00281532407335397
"119" "AMT_CREDIT_MAX" 0.00175818878412331 NA 0.00276866124340888
"120" "Add_RATIO_PAYMENT_PREV_MIN" 0.00174442317181816 NA 0.00362414645906892
"121" "NAME_PRODUCT_TYPE_walk.in" 0.00171671534445836 NA 0.00125989640851752
"122" "HOUR_APPR_PROCESS_START" 0.00170741242613277 NA 0.00362414645906892
"123" "Add_INCOME_per_ADULT" 0.00169598599868866 NA 0.00343749513928855
"124" "FLAG_OWN_CAR" 0.00168238506682102 NA 0.00155542766483645
"125" "Add_DIFF_DAYS_LAST_DUE_PREV_MAX" 0.00166910169123319 NA 0.00334416947939836
"126" "DAYS_ENDDATE_FACT_MEAN" 0.00166531082031773 NA 0.00321973526621144
"127" "Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MAX" 0.00164521697766228 NA 0.00317307243626635
"128" "CNT_INSTALMENT_MEAN" 0.00161416606698457 NA 0.00334416947939836
"129" "DAYS_LAST_DUE_1ST_VERSION_MIN" 0.00159964343271401 NA 0.00250423854038668
"130" "AMT_APPLICATION_MEAN" 0.00157787460154097 NA 0.00315751815961799
"131" "FLAG_WORK_PHONE" 0.00156389808922625 NA 0.00199094741099065
"132" "AMT_CREDIT_MEAN" 0.00147299236081678 NA 0.00320418098956308
"133" "Add_DIFF_RECEIVABLE_PRINCIPAL_BALANCE_CARD_MEAN" 0.00143461442600934 NA 0.00152431911153972
"134" "Mortgage_Nr" 0.00141742346890014 NA 0.0013998848983528
"135" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MEAN" 0.0014149158558263 NA 0.00242646715714486
"136" "NFLAG_INSURED_ON_APPROVAL_0" 0.00136409648627454 NA 0.00138433062170444
"137" "TOTALAREA_MODE" 0.00135104558608773 NA 0.00256645564698014
"138" "AMT_ANNUITY_SUM" 0.00132024100622573 NA 0.00241091288049649
"139" "BUREAU_STATUS_ENTROPY_MEAN" 0.00128940885811939 NA 0.00245757571044159
"140" "DAYS_TERMINATION_MEAN" 0.00128613904772171 NA 0.00259756420027687
"141" "REGION_RATING_CLIENT_W_CITY.3" 0.00126561712997983 NA 0.00135322206840771
"142" "SK_DPD_DEF_MAX_POS" 0.0012621143742314 NA 0.00107324508873715
"143" "AMT_CREDIT_MIN" 0.00122236373871181 NA 0.00250423854038668
"144" "PRODUCT_COMBINATION_Cash_X.Sell._low" 0.00120657845712139 NA 0.00125989640851752
"145" "NA_EXT_SOURCE_3" 0.00120526730764559 NA 0.00132211351511098
"146" "DAYS_LAST_DUE_MEAN" 0.00118358610441574 NA 0.00241091288049649
"147" "DAYS_FIRST_DUE_MEAN" 0.00118054516025401 NA 0.00230203294395794
"148" "REGION_RATING_CLIENT_W_CITY.1" 0.00117231762574351 NA 0.000902148045605139
"149" "BUREAU_STATUS_ENTROPY_MAX" 0.00117226034466962 NA 0.00222426156071612
"150" "CODE_REJECT_REASON_HC" 0.00112399886027763 NA 0.00150876483489135
"151" "SK_DPD_MEAN_POS" 0.00111756843456146 NA 0.00222426156071612
"152" "NAME_YIELD_GROUP_low_action" 0.00110852136743219 NA 0.00105769081208878
"153" "Add_CARD_DRAWINGS_POS_per_CNT_MEAN" 0.00110705781430606 NA 0.00189762175110046
"154" "AMT_ANNUITY_MIN" 0.00109368552384046 NA 0.00241091288049649
"155" "Consumer_credit_Nr" 0.00108296264896653 NA 0.00211538162417757
"156" "BUREAU_STATUS_0_MEAN" 0.00107802767180713 NA 0.00259756420027687
"157" "Add_RATIO_LIMIT_CREDIT_BUREAU_MEAN" 0.00107665488920285 NA 0.00191317602774883
"158" "DAYS_FIRST_DRAWING_MAX" 0.00107317735633259 NA 0.00111990791868224
"159" "REG_CITY_NOT_LIVE_CITY" 0.00107298483002266 NA 0.00122878785522079
"160" "Add_RATIO_PAYMENT_BUREAU_MEAN" 0.00104885615464747 NA 0.00183540464450701
"161" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MAX" 0.00104440375767333 NA 0.00171097043132009
"162" "DEF_60_CNT_SOCIAL_CIRCLE" 0.00103604342337766 NA 0.000995473705495326
"163" "NAME_TYPE_SUITE_Unaccompanied" 0.00101393727642892 NA 0.00241091288049649
"164" "Add_DIFF_DRAWINGS_LIMIT_CARD_MAX" 0.000965526869744895 NA 0.00237980432719976
"165" "AMT_REQ_CREDIT_BUREAU_YEAR" 0.000955550109130694 NA 0.00185095892115537
"166" "AMT_APPLICATION_MIN" 0.000952187416851639 NA 0.00186651319780374
"167" "Credit_card_Nr" 0.000938614295082753 NA 0.00167986187802336
"168" "AMT_CREDIT_SUM_OVERDUE_SUM" 0.000922830861696315 NA 0.00107324508873715
"169" "Add_DIFF_MEAN_PAYMENT_INST_MIN_CARD" 0.000922202956663384 NA 0.00132211351511098
