"Feature" "Gain" "Cover" "Frequency"
"1" "EXT_SOURCE_MEAN" 262961.678358555 69753077 871
"2" "EXT_SOURCE_MIN" 48037.8607953787 34784996 776
"3" "Add_RATIO_PAYMENT" 34448.387627244 226973859 2013
"4" "EXT_SOURCE_MAX" 25700.2870175838 28506653 628
"5" "Add_RATIO_CREDIT_GOODS" 23277.6692259312 35890668 864
"6" "Add_RATIO_DEBT_CREDIT_BUREAU_MEAN" 20136.4462713003 32431711 599
"7" "DAYS_BIRTH" 19291.679987669 75619246 1239
"8" "EXT_SOURCE_1_GENDER_EDU_OCC" 19267.5963993073 18036461 668
"9" "AMT_ANNUITY" 15135.0961463451 32618169 913
"10" "EXT_SOURCE_3" 14866.6507707834 42067204 780
"11" "DAYS_LAST_DUE_1ST_VERSION_MAX" 13162.3286304474 51738418 756
"12" "INSTALMENTS_LESS_MEAN" 12360.6648991108 33001373 553
"13" "DAYS_EMPLOYED" 11957.5279548168 26334645 649
"14" "INSTALMENTS_LESS_TREND" 10227.6389610767 25091254 569
"15" "INSTALMENTS_DPD_MAX" 9950.01337194443 33348615 623
"16" "DAYS_CREDIT_MAX" 9549.27066227794 34162386 744
"17" "DAYS_ID_PUBLISH" 9468.14257502556 37849233 890
"18" "NAME_CONTRACT_STATUS_Refused" 8763.3445520401 22527859 326
"19" "AMT_PAYMENT_MEAN" 8732.79916238785 25280642 532
"20" "Add_RATIO_EMPLOYED_BIRTH" 8660.02954471111 15040811 526
"21" "NAME_CONTRACT_STATUS_POSCASH_Active" 8643.20719647408 17889872 411
"22" "Add_RATIO_ANNUITY_INCOME" 8598.58009886742 24522021 715
"23" "Add_RATIO_INSTALMENT_LEFT_MEAN" 8368.21176791191 11909654 505
"24" "EXT_SOURCE_2" 7996.80678796768 36395554 754
"25" "DAYS_REGISTRATION" 7889.49138247967 31349694 854
"26" "EXT_SOURCE_2_GENDER_EDU_OCC" 7872.81290602684 14851340 372
"27" "AMT_GOODS_PRICE" 7726.14721298218 28000464 462
"28" "AMT_ANNUITY_PREV_MEAN" 6963.52975940704 33056690 623
"29" "NA_EXT_SOURCE_1" 6806.93916630745 15209344 260
"30" "Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MIN" 6778.05820059776 14730559 365
"31" "Add_DIFF_MEAN_DEBT_CREDIT_BUREAU" 6676.60448586941 30472449 559
"32" "AMT_CREDIT" 6671.08965134621 15135851 384
"33" "DAYS_CREDIT_ENDDATE_MAX" 6335.89217424393 26284689 509
"34" "INSTALMENTS_DPD_MEAN" 6294.8859256506 17087399 608
"35" "CNT_DRAWINGS_ATM_CURRENT_MEAN" 6279.3133122921 9328252 142
"36" "DAYS_ENTRY_PAYMENT_MAX" 6169.92500007153 35086998 572
"37" "Add_DIFF_PAYMENT_DRAWINGS_CARD_MEAN" 5903.54256880283 25023106 229
"38" "Add_DIFF_BALANCE_LIMIT_CARD_MAX" 5862.98868203163 21833555 275
"39" "REGION_POPULATION_RELATIVE" 5807.87334775925 48633940 634
"40" "DAYS_LAST_DUE_1ST_VERSION_MEAN" 5803.71292185783 11797580 351
"41" "Add_RATIO_CREDIT_INCOME" 5552.82343959808 12824228 508
"42" "Add_CREDIT_TERM_BUREAU_MIN" 5378.2084659338 30146270 571
"43" "EXT_SOURCE_1" 5306.29568731785 33861953 462
"44" "Add_RATIO_INSTALMENT_LEFT_TREND_MEAN" 5272.52310061455 31635247 554
"45" "DAYS_ENDDATE_FACT_MAX" 5085.11418569088 37064644 516
"46" "Add_DIFF_DAYS_LAST_DUE_PREV_MEAN" 5054.48258134723 13451036 335
"47" "Microloan_Nr" 5052.74529337883 14216728 110
"48" "Add_DIFF_RECEIVABLE_BALANCE_CARD_MEAN" 5044.02696740627 9634435 169
"49" "Add_CREDIT_per_ADULT" 4958.8710064888 18044310 433
"50" "Add_CREDIT_per_FAM" 4917.64944291115 21709004 506
"51" "CNT_INSTALMENT_FUTURE_MEAN" 4815.24018800259 11440988 342
"52" "Add_DIFF_SUM_DEBT_CREDIT_BUREAU" 4799.7733963728 21024848 412
"53" "DAYS_LAST_PHONE_CHANGE" 4729.69662594795 12196489 468
"54" "CNT_PAYMENT_MEAN" 4720.90403437614 22991961 420
"55" "Add_RATIO_PHONE_EMPLOYED" 4576.58121705055 10907063 509
"56" "MONTHS_BALANCE_MAX_POS" 4461.64950609207 11019444 278
"57" "DAYS_CREDIT_MEAN" 4429.85748529434 17663085 448
"58" "DAYS_LAST_DUE_MAX" 4410.29423165321 27381248 379
"59" "Add_RATIO_PHONE_BIRTH" 4372.59396517277 21276394 481
"60" "DAYS_FIRST_DUE_MAX" 4321.49479460716 25369309 497
"61" "AMT_DOWN_PAYMENT_MAX" 4272.77835690975 13913745 349
"62" "AMT_INSTALMENT_MAX" 4229.32539701462 14196197 333
"63" "AMT_BALANCE_TREND" 4166.76536130905 12454766 140
"64" "DAYS_INSTALMENT_MAX" 4150.85781610012 16543482 389
"65" "Add_DIFF_MEAN_INSTALMENT_FUTURE" 4056.77360987663 16422761 440
"66" "Add_RATIO_MEAN_PAYMENT_PREV" 4031.64394879341 11525617 394
"67" "INSTALMENTS_DPD_TREND" 3983.98707437515 17630214 453
"68" "SK_DPD_DEF_MEAN_POS" 3935.77378416061 9477281 168
"69" "Add_RATIO_MEAN_PAYMENT_BUREAU" 3933.19527709484 15265218 434
"70" "AMT_CREDIT_MAX_OVERDUE_MEAN" 3913.800750494 15714576 265
"71" "AMT_CREDIT_MAX_OVERDUE_MAX" 3895.55037045479 19772826 266
"72" "DAYS_DECISION_MAX" 3721.40729391575 16509687 417
"73" "Add_RATIO_PAYMENT_PREV_MEAN" 3677.53091311455 8559508 330
"74" "CNT_PAYMENT_MAX" 3668.69996643066 4900331 179
"75" "Add_DIFF_SUM_DEBT_LIMIT_BUREAU" 3627.42251205444 16327187 297
"76" "Add_RATIO_PAYMENT_PREV_MAX" 3609.81802451611 12389450 413
"77" "Add_RATIO_CAR_BIRTH" 3580.08669614792 14576115 216
"78" "AMT_PAYMENT_MAX" 3577.51819300652 7957391 271
"79" "AMT_INSTALMENT_MEAN" 3550.94633245468 10727198 325
"80" "DAYS_TERMINATION_MAX" 3519.8059194088 11476967 361
