"SK_ID_PREV" "AMT_BALANCE_INTERCEPT" "AMT_BALANCE_TREND"
"1" 1000018 -5621.94449999992 26856.0765
"2" 1000030 -16919.1160714285 16202.2623214286
"3" 1000031 -31986.8775 9927.21375
"4" 1000035 0 0
"5" 1000077 0 0
"6" 1000083 0 0
"7" 1000087 113796.666743952 -4528.3977382698
"8" 1000089 0 0
"9" 1000094 60993.9801959247 -710.806208437533
"10" 1000096 111826.023848684 -1509.84973463782
"11" 1000123 0 0
"12" 1000128 8123.1323529412 5540.88027863777
"13" 1000130 -11843.7954545454 10773.4806818182
"14" 1000132 0 0
"15" 1000186 0 0
"16" 1000187 0 0
"17" 1000196 95368.3441071428 -15892.7491071429
"18" 1000235 2065.57442307694 10554.5385989011
"19" 1000238 -12801.3424285715 3772.59830357143
"20" 1000240 17148.0981818183 19612.2622027972
"21" 1000241 0 0
"22" 1000242 -93438.2916233766 22635.5612676454
"23" 1000257 54694.3881428571 -1842.54364285714
"24" 1000277 19747.4031818183 54379.8879545454
"25" 1000281 45568.695 -9348.14571428572
"26" 1000286 61597.1814545454 -7487.35690909091
"27" 1000296 -52336.6204891305 8170.97043913043
"28" 1000320 120670.478900316 -1859.38648364979
"29" 1000339 0 0
"30" 1000344 54260.2255559211 -794.786441874661
"31" 1000353 -61331.496 32263.0562727273
"32" 1000355 35204.9533516484 10724.8186483516
"33" 1000356 34293.0358928571 16835.8628571429
"34" 1000367 132761.155537815 -1806.98287434043
"35" 1000393 0 0
"36" 1000431 86019.5926124009 -1408.55781463834
"37" 1000455 33177.5271710527 -498.600817959849
"38" 1000462 7166.54596153846 -520.386675824176
"39" 1000466 67933.2581883632 -1121.37061521347
"40" 1000476 20942.3693335035 -341.384569458631
"41" 1000486 87950.1690000001 13197.1123636364
"42" 1000491 -20477.86875 19048.19775
"43" 1000514 35681.3114207275 -548.039478958206
"44" 1000515 0 0
"45" 1000521 165714.658285414 -2148.46783585987
"46" 1000547 -44349.054 24621.0711818182
