"learning_rate" "num_leaves" "max_bin" "feature_fraction" "min_sum_hessian" "lambda_l1" "lambda_l2" "perf"
"1" 0.125 50 128 0.95 0.002 0 0 0.783157052298659
"2" 0.125 50 128 0.95 0.002 0.002 0 0.773325930912745
"3" 0.125 50 128 0.95 0.002 0.004 0 0.765978228452967
"4" 0.125 50 128 0.95 0.002 0.006 0 0.756911595959228
"5" 0.125 50 128 0.95 0.002 0.008 0 0.748323150821337
"6" 0.125 50 128 0.95 0.002 0.01 0 0.741121971827046
"7" 0.125 50 128 0.95 0.002 0 0.002 0.782021688965045
"8" 0.125 50 128 0.95 0.002 0.002 0.002 0.772576233734013
"9" 0.125 50 128 0.95 0.002 0.004 0.002 0.765985946501038
"10" 0.125 50 128 0.95 0.002 0.006 0.002 0.757108244393412
"11" 0.125 50 128 0.95 0.002 0.008 0.002 0.748086512655923
"12" 0.125 50 128 0.95 0.002 0.01 0.002 0.741404874359973
"13" 0.125 50 128 0.95 0.002 0 0.004 0.781347798972573
"14" 0.125 50 128 0.95 0.002 0.002 0.004 0.772069879274928
"15" 0.125 50 128 0.95 0.002 0.004 0.004 0.765841040292276
"16" 0.125 50 128 0.95 0.002 0.006 0.004 0.75713771877631
"17" 0.125 50 128 0.95 0.002 0.008 0.004 0.748627203932134
"18" 0.125 50 128 0.95 0.002 0.01 0.004 0.741280855679567
"19" 0.125 50 128 0.95 0.002 0 0.006 0.780003670775422
"20" 0.125 50 128 0.95 0.002 0.002 0.006 0.771223450770196
"21" 0.125 50 128 0.95 0.002 0.004 0.006 0.765482169560603
"22" 0.125 50 128 0.95 0.002 0.006 0.006 0.757254954247832
"23" 0.125 50 128 0.95 0.002 0.008 0.006 0.748501841748171
"24" 0.125 50 128 0.95 0.002 0.01 0.006 0.741199831195644
"25" 0.125 50 128 0.95 0.002 0 0.008 0.778597338337115
"26" 0.125 50 128 0.95 0.002 0.002 0.008 0.770767719238392
"27" 0.125 50 128 0.95 0.002 0.004 0.008 0.765427459295209
"28" 0.125 50 128 0.95 0.002 0.006 0.008 0.757126691758246
"29" 0.125 50 128 0.95 0.002 0.008 0.008 0.748543907191811
"30" 0.125 50 128 0.95 0.002 0.01 0.008 0.741243424040101
"31" 0.125 50 128 0.95 0.002 0 0.01 0.777639536371284
"32" 0.125 50 128 0.95 0.002 0.002 0.01 0.770031191652795
"33" 0.125 50 128 0.95 0.002 0.004 0.01 0.764905487025282
"34" 0.125 50 128 0.95 0.002 0.006 0.01 0.75737154156254
"35" 0.125 50 128 0.95 0.002 0.008 0.01 0.748165457740259
"36" 0.125 50 128 0.95 0.002 0.01 0.01 0.741625584594128
