Feature,Gain,Cover,Frequency,run
Add_RATIO_PAYMENT,1138.62412571907,34375737,212,1
Add_RATIO_PHONE_EMPLOYED,883.109306454659,21417879,175,1
Add_RATIO_ANNUITY_INCOME,731.794746279717,2993023,136,1
DAYS_REGISTRATION,688.440529704094,2354543,142,1
DAYS_CREDIT_MIN,648.255282759666,2602454,137,1
DAYS_ID_PUBLISH,606.872309327126,435734,106,1
Add_RATIO_PHONE_BIRTH,601.14660358429,669652,109,1
AMT_CREDIT_MAX_OVERDUE_MIN,596.405504226685,12564493,124,1
DAYS_ENDDATE_FACT_MEAN,579.879721105099,2566938,129,1
Add_RATIO_EMPLOYED_BIRTH,575.292298555374,1177430,99,1
AMT_ANNUITY_MIN,570.226124048233,1481239,82,1
DAYS_BIRTH,565.202649012208,3613356,110,1
RATE_DOWN_PAYMENT_MEAN,541.663844347,8584830,110,1
DAYS_EMPLOYED,466.614673614502,6770719,90,1
REGION_POPULATION_RELATIVE,454.030944831669,2338891,89,1
NAME_CONTRACT_TYPE_Revolving_loans,452.871615409851,21096679,96,1
RATE_DOWN_PAYMENT_MAX,452.474557876587,9882597,100,1
EXT_SOURCE_2,451.062568664551,1636551,88,1
EXT_SOURCE_MEAN,439.324103146792,440906,84,1
Add_CARD_DRAWINGS_POS_per_CNT_MEAN,434.461762189865,8620509,92,1
DAYS_ENDDATE_FACT_MIN,431.449466943741,1129804,89,1
AMT_CREDIT,419.7802375108,5785142,84,1
Add_RATIO_PAYMENT_PREV_MAX,419.609584093094,588566,77,1
Add_RATIO_CREDIT_INCOME,418.474032700062,1796973,71,1
INSTALMENTS_LESS_TREND,413.783158421516,427620,74,1
LIVINGAREA_AVG,406.387931585312,1347714,62,1
AMT_DOWN_PAYMENT_MIN,405.92934525013,1321262,80,1
AMT_CREDIT_MAX_OVERDUE_MAX,402.905074596405,3877089,82,1
DAYS_LAST_PHONE_CHANGE,396.883390307427,296711,71,1
Add_CREDIT_per_FAM,392.529953837395,2004594,72,1
EXT_SOURCE_MAX,391.81031703949,523488,74,1
EXT_SOURCE_MIN,388.28779065609,1207561,83,1
DAYS_CREDIT_MAX,387.270033597946,116536,70,1
RATE_DOWN_PAYMENT_MIN,386.288543224335,2616276,68,1
AMT_CREDIT_SUM_SUM,381.615072488785,2776884,69,1
Add_RATIO_MEAN_PAYMENT_PREV,379.932235956192,326249,65,1
AMT_CREDIT_MAX,369.942047595978,5098911,69,1
DAYS_FIRST_DUE_MAX,364.559309005737,567137,65,1
