Feature,Gain,Cover,Frequency
EXT_SOURCE_MEAN,771463.489825249,121442676,1093
EXT_SOURCE_MIN,63496.8857889176,8477166,310
Add_RATIO_CREDIT_GOODS,46812.8756103516,20711319,930
EXT_SOURCE_MAX,42231.077381134,33294062,387
EXT_SOURCE_3,32344.8478040695,6484880,615
Add_RATIO_DEBT_CREDIT_BUREAU_MEAN,31797.2894010544,17204394,655
Add_DIFF_PAYMENT_DRAWINGS_CARD_MEAN,18491.4547986984,8578125,478
INSTALMENTS_LESS_MEAN,15501.0218544006,14086926,546
CNT_DRAWINGS_ATM_CURRENT_MEAN,13847.5871448517,9307509,377
DAYS_EMPLOYED,13289.7497196198,3688583,360
Add_RATIO_PAYMENT,10550.7830924988,4524563,342
Add_RATIO_EMPLOYED_BIRTH,8654.55208396912,3716186,293
SK_DPD_DEF_MEAN_POS,7750.75695133209,1896251,345
Microloan_Nr,7367.93761444092,8355212,244
AMT_PAYMENT_MEAN,6883.20036506653,1466045,287
Add_DIFF_RECEIVABLE_BALANCE_CARD_MEAN,6296.22957420349,8680330,297
AMT_CREDIT,5825.13111877441,1768466,188
NAME_CONTRACT_STATUS_Refused,4704.16141700745,2802288,154
NAME_CONTRACT_STATUS_POSCASH_Active,4395.54489707947,830914,203
Add_DIFF_BALANCE_LIMIT_CARD_MAX,4141.58147144318,280548,184
SK_DPD_DEF_MAX_POS,4094.02186393738,1169861,171
EXT_SOURCE_2,3913.82902526855,1300939,67
Add_RATIO_INSTALMENT_LEFT_MEAN,3551.5284910202,474237,167
AMT_ANNUITY,3317.2578496933,605467,153
DAYS_BIRTH,3081.17077159882,492812,133
Add_DIFF_DAYS_LAST_DUE_PREV_MEAN,2555.41863536835,515211,128
AMT_CREDIT_SUM_OVERDUE_SUM,2542.3249168396,435272,109
DAYS_LAST_DUE_1ST_VERSION_MEAN,2428.0499420166,466569,125
PRODUCT_COMBINATION_Cash_Street._high,2174.21704673767,177190,88
DAYS_CREDIT_ENDDATE_MEAN,2124.18359565735,95203,88
Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MIN,1972.73659992218,903652,98
CREDIT_ACTIVE_Active,1945.71106147766,246603,98
AMT_PAYMENT_MAX,1866.91431331635,1089941,86
AMT_INSTALMENT_MAX,1694.1936416626,1288634,90
NA_EXT_SOURCE_3,1606.70573425293,306221,27
Add_DIFF_RECEIVABLE_PRINCIPAL_BALANCE_CARD_MEAN,1452.11345291138,508628,67
